project,project_long,inoculation,inoculation_long,number,total_id
DFC,DougFirColonization,S,Sterile,206,DFCS206
DFC,DougFirColonization,S,Sterile,207,DFCS207
DFC,DougFirColonization,S,Sterile,208,DFCS208
DFC,DougFirColonization,S,Sterile,209,DFCS209
DFC,DougFirColonization,S,Sterile,210,DFCS210
DFC,DougFirColonization,S,Sterile,211,DFCS211
DFC,DougFirColonization,S,Sterile,212,DFCS212
DFC,DougFirColonization,S,Sterile,213,DFCS213
DFC,DougFirColonization,S,Sterile,214,DFCS214
DFC,DougFirColonization,S,Sterile,215,DFCS215
DFC,DougFirColonization,S,Sterile,216,DFCS216
DFC,DougFirColonization,S,Sterile,217,DFCS217
DFC,DougFirColonization,S,Sterile,218,DFCS218
DFC,DougFirColonization,S,Sterile,219,DFCS219
